us_crs,min_score,max_score
1,0.9985630572258807,1
2,0.9981773035033855,0.9985630406270044
3,0.9978478910734466,0.9981772851326576
4,0.9975376165844237,0.9978475056728351
5,0.9972595344630067,0.997537561375996
6,0.9969687861225253,0.9972595172832613
7,0.9967019041575279,0.9969687335250533
8,0.9964414741033291,0.9967018480672436
9,0.9961793108330013,0.996441437037747
10,0.9959245042616005,0.9961792790338677
11,0.99566828678576,0.9959244797547465
12,0.9954096721395954,0.9956682551141856
13,0.9951402020874288,0.995409468725039
14,0.9948753029324497,0.99514004547153
15,0.994592918112108,0.9948751702085915
16,0.994317534023055,0.9945928258140924
17,0.9940057022057732,0.9943173279499324
18,0.9936767567338081,0.994005567741754
19,0.9933528176923604,0.9936767228966071
20,0.9929935802551954,0.99335278556151
21,0.9926578349834636,0.99299329846508
22,0.9922855162931474,0.9926577350749222
23,0.9918883830012099,0.9922852858709309
24,0.9914773145669677,0.9918881957782628
25,0.9910538763929899,0.9914772457222214
26,0.9906078426492705,0.9910537901358488
27,0.9901362517047472,0.9906077621646612
28,0.989617884920353,0.9901359415920385
29,0.9890790123182928,0.9896176670984553
30,0.9885126116559327,0.9890784793230712
31,0.9879634798991769,0.988512549572131
32,0.9873626918664873,0.9879633088427321
33,0.9866815271019355,0.9873625311603066
34,0.9859841833333327,0.9866808895641453
35,0.9853425066210247,0.98598409102181
36,0.9846495686771372,0.9853420912176303
37,0.9839229025510707,0.9846491632304053
38,0.9830150292286521,0.9839226501837326
39,0.9817869735629974,0.983014774293083
40,0.9805361553984664,0.9817867750654591
41,0.9792674709009423,0.9805342750190644
42,0.9774619615545291,0.97926690936026894
43,0.9748596879255963,0.9774604339615762
44,0.9718068838742505,0.9748583897840843
45,0.9676373302247009,0.9718068800182027
46,0.961943275759695,0.9676361042369417
47,0.9535751871144292,0.9619360657069739
48,0.9384216265902195,0.9535673132414234
49,0.9059504774552783,0.9384075182714412
50,0,0.9059461673634989
